,Alloy ID,References,Alloy,Microstructure,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,HOMO FCC SUM,HOMO BCC SUM
41,Alloy 0608,10.1016/j.matlet.2014.11.162,AlNbTiV,BCC,0.025253814,1.384402722,-0.011682162,1.75,1.039850347,-0.011525651,54.67410465,218.6964186,-18.07222127,0.042944785,0,0.515838294
42,Alloy 0622,10.1016/j.msea.2011.09.033,NbCrMo0.5Ta0.5TiZr,BCC + Im,0.062937063,7.143831665,0.003992376,4.82,1.125035941,-0.014533432,84.489484,422.43742,-3.669063576,0.108037991,0,0.721981324
43,Alloy 0626,10.1016/j.msea.2012.12.018,NbTiVZr,BCC,0.060111422,103.7539132,0.008425446,4.5625,1.104882476,-0.011525651,70.73472,282.93888,-3.189712026,0.076834747,0,1
44,Alloy 0630,10.1016/j.msea.2012.12.018,NbTiV2Zr,BCC,0.06169258,19.35658019,-0.004815593,4.56,1.1054374,-0.011075737,66.776076,333.88038,-2.91009221,0.076761031,0,1
45,Alloy 0631,10.1016/j.msea.2012.12.018,NbTiV3Zr,BCC,0.060863389,13.80881908,-0.011968826,4.305555556,1.105811463,-0.010329757,64.13698,384.82188,-2.788546201,0.074293424,0,1
46,Alloy 0632,10.1016/j.msea.2012.12.018,NbTiV4Zr,BCC,0.059261735,11.86567341,-0.016948704,4,1.106080697,-0.009592211,62.25191143,435.76338,-2.731303575,0.071330845,0,1
47,Alloy 0633,10.1016/j.msea.2012.12.018,NbTiV5Zr,BCC,0.057439038,10.91611505,-0.011838737,3.703125,1.106283752,-0.008925435,60.83811,486.70488,-2.705297888,0.068403822,0,1
48,Alloy 0634,10.1016/j.msea.2012.12.018,CrNbTiZr,BCC + Im,0.0693484,5.185966811,0.007881095,5.3125,1.124954214,-0.011525651,70.99837,283.99348,-2.396583643,0.109807397,0,0.656949532
49,Alloy 0638,10.1016/j.msea.2012.12.018,CrNbTiVZr,BCC + Im,0.068069077,6.449347095,0.010574072,5.2,1.12556218,-0.013380867,66.986996,334.93498,-2.887915756,0.100362054,0,0.658467894
50,Alloy 0642,10.1016/j.matdes.2015.05.019,MoNbHfZrTi,BCC,0.055881279,20.44094665,-0.005732998,4.32,1.080433256,-0.013380867,101.289476,506.42738,-4.285007405,0.107720919,0,0.790859358
51,Alloy 0643,10.1016/j.matdes.2015.05.019,MoNbHfZrTi,BCC,0.055881279,20.44094665,-0.005732998,4.32,1.080433256,-0.013380867,101.289476,506.42738,-4.285007405,0.107720919,0,0.790859358
52,Alloy 0645,10.1007/s10853-012-6260-2,HfNbTaTiZr,BCC,0.048591338,12.41173785,-0.005217577,3.76,1.066655874,-0.013380867,118.287052,591.43526,-5.667173874,0.063214504,0,1
53,Alloy 0674,10.1016/j.actamat.2015.08.076,FeCoNiCr,FCC + Im,0.01629686,5.752836761,0.006388041,1,1.024019943,-0.011525651,56.36692375,225.467695,-43.39678913,0.041940973,1,0
54,Alloy 0675,10.1016/j.actamat.2015.08.076,(FeCoNiCr)94Ti2Al4,FCC + Im,0.021736275,4.766835858,0.004470571,1.198212768,1.081463493,-0.012099707,56.01472116,21397.62348,-25.60970824,0.047725747,1,0
55,Alloy 0733,10.1016/j.msea.2019.03.057,CoCrFeMnNiNbC,FCC,0.159089842,0.942463579,-0.004049565,8.857142857,1.423176443,-0.016178297,55.04611714,385.32282,-0.639216392,0.130128938,0.985291106,0
56,Alloy 0834,10.1016/j.actamat.2012.11.032,CrNbTiZr,BCC + Im,0.0693484,5.185966811,0.007881095,5.3125,1.124954214,-0.011525651,70.99837,283.99348,-2.396583643,0.109807397,0,0.656949532
57,Alloy 0837,10.1016/j.jallcom.2015.08.224,AlCrNbTiV,BCC + Im,0.036949417,1.835728101,-0.018958523,2.72,1.0589507,-0.013380867,54.13850372,270.6925186,-9.800970285,0.066398223,0,0.574598886
58,Alloy 0841,10.1016/j.jallcom.2015.08.224,Al18Cr28Nb18Ti18V18,BCC + Im,0.039358601,1.951238122,-0.014752537,2.9232,1.059076019,-0.013228283,53.92426335,5392.426335,-8.539337431,0.070309766,0,0.567960045
59,Alloy 0866,10.1007/s11837-015-1484-7,Al10Co25Cr8Fe15Ni36Ti6,FCC + Im,0.045336306,1.637240741,-0.003895571,2.5044,1.08108557,-0.013302878,53.96953461,5396.953461,-6.472221196,0.083809006,0.849084296,0.150915704
60,Alloy 0977,10.3390/e20120967,CoCrFeMnNi,FCC,0.022496395,5.793658002,-0.004285451,1.52,1.03351308,-0.013380867,56.081148,280.40574,-26.43981334,0.05740398,0.838236715,0
61,Alloy 0979,10.1038/s41598-019-39570-y,V10Cr10Fe45Co20Ni15,FCC,0.022830534,4.12395572,0.009825835,1.2275,1.043202037,-0.011858267,56.014659,5601.4659,-22.75040315,0.054029382,0.974734984,0
62,Alloy 0982,10.1038/s41598-019-39570-y,V10Cr10Fe45Co10Ni25,FCC,0.022509886,3.711144087,0.009828231,1.2475,1.043189842,-0.011611977,55.9906795,5599.06795,-22.91709645,0.055703125,0.929229911,0
63,Alloy 1036,10.1016/j.actamat.2016.07.038,CoCrFeMnNi,FCC,0.022496395,5.793658002,-0.004285451,1.52,1.03351308,-0.013380867,56.081148,280.40574,-26.43981334,0.05740398,0.961890732,0
64,Alloy 1037,10.1016/j.msea.2015.03.109,Ni18.5Fe18.5Cr18.5Co26Mn18.5,FCC,0.022326156,5.811523059,-0.002153213,1.480925,1.033531443,-0.013293377,56.29505153,5629.505153,-26.66904184,0.056440128,0.858491777,0
65,Alloy 1039,10.1016/j.msea.2015.03.109,NiFeCrCoMn,FCC,0.022496395,5.793658002,-0.004285451,1.52,1.03351308,-0.013380867,56.081148,280.40574,-26.43981334,0.05740398,0.734356955,0
66,Alloy 1041,10.1016/j.msea.2015.03.109,Ni18.5Fe18.5Cr18.5Co26Mn18.5,FCC + Im,0.022326156,5.811523059,-0.002153213,1.480925,1.033531443,-0.013293377,56.29505153,5629.505153,-26.66904184,0.056440128,0.858491777,0
67,Alloy 1043,10.1016/j.msea.2015.03.109,NiFeCrCoMn,FCC + Im,0.022496395,5.793658002,-0.004285451,1.52,1.03351308,-0.013380867,56.081148,280.40574,-26.43981334,0.05740398,0.734356955,0
68,Alloy 1044,10.1016/j.msea.2015.03.109,CoCrFeNi,FCC + Im,0.01629686,5.752836761,0.006388041,1,1.024019943,-0.011525651,56.36692375,225.467695,-43.39678913,0.041940973,1,0
69,Alloy 1045,10.1016/j.msea.2015.03.109,Fe70.04Mn28Al1.6Si0.28C0.08,FCC + Im,0.031194302,6.946732499,0.002500721,1.68056848,1.403835403,-0.005771342,55.01644318,5501.644318,-5.930977858,0.048272233,1,0
70,Alloy 1046,10.1016/j.msea.2015.03.109,Fe73.03Mn25Al1.6Si0.24Nb0.05C0.08,FCC + Im,0.030637339,6.964350968,0.004523242,1.58961878,1.416576211,-0.00553922,55.07328632,5507.328632,-5.901284155,0.046920293,1,0
71,Alloy 1047,10.1016/j.msea.2015.03.109,Fe68.25Mn27Al4.1Si0.52Nb0.05C0.08,FCC + Im,0.03592005,3.635441965,-0.000133058,1.97611238,1.415839902,-0.006501914,54.25583408,5425.583408,-5.039266873,0.051547299,1,0
72,Alloy 1052,10.1016/j.actamat.2016.06.063,CoCrFeNi,FCC,0.01629686,5.752836761,0.006388041,1,1.024019943,-0.011525651,56.36692375,225.467695,-43.39678913,0.041940973,0.286973903,0.48625802
73,Alloy 1053,10.1016/j.actamat.2016.06.063,CoCrFeNiMo0.1,FCC,0.022115457,5.928619823,0.003447642,1.249256395,1.067103435,-0.012197865,57.33260854,235.061695,-24.93974469,0.042667329,0.272896289,0.429176885
74,Alloy 1054,10.1016/j.actamat.2016.06.063,CoCrFeNiMo0.2,FCC,0.0262538,5.980271943,0.000644823,1.473922902,1.067048389,-0.012568477,58.25230833,244.655695,-18.2346867,0.043298599,0.260942515,0.376655526
75,Alloy 1055,10.1016/j.actamat.2016.06.063,CoCrFeNiMo0.3,FCC + Im,0.029474366,6.000152856,-0.002029849,1.676581936,1.066996009,-0.012825286,59.1292314,254.249695,-14.76311874,0.043847513,0.24342382,0.344969404
76,Alloy 1127,10.1016/j.actamat.2014.01.029,AlMo0.5NbTa0.5TiZr,BCC,0.045245366,1.871994062,-0.003686119,3.14,1.08099678,-0.014533432,79.48657172,397.4228586,-7.099372726,0.086746475,0,0.617856067
77,Alloy 1159,10.1016/j.jallcom.2015.08.224,AlCr1.5NbTiV,BCC + Im,0.039179336,1.941125856,-0.015135719,2.909090909,1.059064599,-0.013253902,53.94373975,296.6905686,-8.634349087,0.070040131,0,0.569491656
78,Alloy 1248,10.1016/j.msea.2018.11.143,CoCrNi,FCC,0.017009818,3.534804814,0.000488326,1.111111111,1.023986157,-0.009133863,56.54089833,169.622695,-31.56858629,0.048002341,1,0
