,Nb,Ta,W,YS 25C PRIOR,HV 25C PRIOR,HV 25C PRIOR*,YS T C PRIOR,HV T C PRIOR,YS T-273C PRIOR,HV T-273C PRIOR,YS 25-273C PRIOR,HV 25-273C PRIOR
216,0.3,0.45,0.25,436.3340037,283.4762936,301.7810349,76.63747006,173.4437045,109.3141021,183.4396152,676.9953859,357.0955601
217,0.3,0.5,0.2,353.4785827,258.1304933,281.5043947,52.08532059,165.9331051,77.00578529,173.5563736,573.312355,325.3785118
218,0.3,0.55,0.15,267.450557,231.8141808,260.4513446,30.84836037,159.4366352,47.94658805,164.6670505,461.4591649,291.1621795
219,0.3,0.6,0.1,179.1415195,204.8000977,238.8400782,14.16616541,154.3334859,23.78209455,157.2750366,340.0057839,254.009111
220,0.3,0.65,0.05,89.03265588,177.2354408,216.7883526,3.382024511,151.0345746,6.594655809,152.0173312,203.3559242,212.2073797
221,0.35,0.05,0.6,816.4025155,399.7407512,394.7926009,235.5833647,222.0658809,303.636634,242.8836445,1117.423406,491.8242294
222,0.35,0.1,0.55,791.125279,392.0083448,388.6066758,221.3420251,217.7093989,287.0872457,237.8211213,1091.31032,483.8361335
223,0.35,0.15,0.5,753.0032726,380.3466726,379.277338,202.0562082,211.8097914,264.3180131,230.8559232,1049.740258,471.1196875
224,0.35,0.2,0.45,703.8924863,365.3234892,367.2587914,179.0066541,204.7588419,236.7465954,222.4217178,994.6694132,454.2732986
225,0.35,0.25,0.4,645.4409757,347.4429415,352.9543532,153.4293324,196.9346382,205.7347986,212.9350868,927.7507178,433.8026056
226,0.35,0.3,0.35,579.1394428,327.1610409,336.7288327,126.5276703,188.7053136,172.6108382,202.8023366,850.3809915,410.134901
227,0.35,0.35,0.3,506.3571975,304.8966649,318.9173319,99.4832725,180.4323256,138.6906963,192.4260313,763.7162699,383.6238207
